protein_A,protein_B,interacts
P35609,P42858,Yes
Q9UNI6,Q13309,Yes
O75674,O75534,No
P62995,P13727,No
P02647,Q99719,No
P53621,Q09472,No
O75828,P40306,No
P09467,P11166,No
P39748,O75936,No
Q15645,P09960,No
O75689,Q9Y265,No
O75400,Q8TF65,No
Q13123,O00757,No
Q08379,O75569,No
P12830,P52565,Yes
Q13523,Q13813,No
O95630,Q8NCD3,No
O76003,P62308,No
P11021,P30533,Yes
P06858,P50591,No
O43924,O60333,No
P49771,P22090,Yes
O14678,Q8WY91,No
Q13813,P08670,Yes
P09211,P08758,Yes
O14775,P01909,No
Q8NE71,Q9UBS3,No
P63000,P08758,Yes
Q9H773,O60256,No
O95630,Q9UKM9,No
P02771,P16284,No
Q92993,Q06609,Yes
Q92993,Q8WYH8,Yes
O95639,O75899,No
P57060,P07305,No
Q13219,P24593,Yes
Q96IZ0,P51784,No
Q969W0,P30533,No
P00966,P04183,No
O95166,P12956,Yes
O94761,Q15388,Yes
P63167,Q92990,No
O94761,O95376,Yes
Q9H4M7,O15530,Yes
O94761,Q15843,No
P08758,Q9UII2,Yes
O00267,Q13526,Yes
Q13263,Q06265,Yes
P63165,Q9UH03,No
Q99962,Q96RR1,No
Q9H3S7,P01909,No
O60260,Q9HC16,No
P02008,P30044,No
Q92993,P30086,No
Q96G74,Q8TF65,No
Q9NYY3,Q14318,No
P49321,P51784,No
P06576,Q99700,No
P00918,Q15560,No
P63165,P17936,No
Q969G6,P54274,No
P05787,P26447,No
O00422,P45984,No
Q01101,Q9NP72,No
P04637,Q07666,Yes
Q16548,P01040,Yes
P23528,Q969H8,No
Q96CS7,P42330,No
P30281,Q9HC16,No
P32456,P47929,No
Q9NPI1,P12931,No
Q9UNN8,Q9Y2V2,No
Q9H832,P63165,Yes
P35080,P61956,No
Q9H668,P54274,Yes
O43504,P21695,No
P54105,Q96L34,No
P09104,Q96FE5,No
Q8N8Q3,Q99685,No
Q9NRC8,Q06830,No
P41567,Q9HC16,No
Q8TDM6,P63208,Yes
O75348,O95372,No
P52788,P51965,No
P11021,Q9UQB8,No
P00533,O60884,Yes
P30153,P17936,No
Q9Y2M5,Q9Y6Y0,Yes
Q7Z3C6,Q9NPA8,No
Q9UBQ0,P63104,No
P13686,P11166,No
P57060,P62308,No
P19367,Q8NFZ0,No
Q99653,Q9Y2M5,No
P56192,O94761,Yes
O60828,Q92879,Yes
Q9P2J2,Q9BXJ8,No
O95163,Q99685,No
P46100,P63165,Yes
P37268,Q9H5I1,No
P36957,Q9UKM9,No
O15530,O00757,No
Q9UQB8,P60763,Yes
P98175,Q99719,No
Q13501,P24522,Yes
O75534,O60333,Yes
P23381,P62826,No
Q9NVJ2,O95466,No
P04792,Q00613,Yes
P60174,P09211,Yes
Q13332,Q9P212,No
Q13526,Q9HC16,No
P60033,P11021,No
O43924,P62826,No
P08670,Q03405,No
P07814,Q9GZU1,No
O43924,P43307,No
P36957,Q13838,No
P40925,P55212,No
Q15181,O95372,No
O60234,P33240,No
P08758,Q9ULC4,No
Q93015,P61077,No
Q9HCK4,P17936,No
Q9HCU9,Q09472,Yes
Q00613,P07737,No
P19256,Q8NBJ7,No
P12429,Q9BPX5,No
P04406,Q9HA47,Yes
Q15047,P35219,No
P60880,P11274,No
P60880,Q96E40,No
Q9NPI1,Q8NCC3,No
P06396,Q8NEV4,Yes
P29692,P80098,No
O60260,P63165,Yes
O95630,O95425,No
Q99963,Q14155,Yes
Q9NXU5,Q9NP59,No
Q13501,Q53FA7,No
Q9NTK5,Q8IVM0,No
Q9Y6I3,Q9H492,Yes
Q99081,Q14807,No
P00742,P23945,Yes
O00762,P02774,No
P61289,P05388,No
P04844,Q96L34,No
P09466,Q13636,No
P60174,Q9Y6N7,No
O15169,Q14194,Yes
Q9P289,Q86YL7,No
P60174,Q12906,Yes
Q13330,Q15022,Yes
Q15121,P02768,No
P60763,P19793,Yes
P09651,P05305,No
Q13574,P51114,No
Q9Y237,P24666,No
Q9NYY3,P05026,No
O94762,Q9UQB8,No
O00762,Q13309,Yes
Q8IWR0,P01270,No
Q14181,P08631,No
Q9Y6N7,P32249,No
P59665,Q9H1D9,No
P47897,Q99685,No
Q8N8Q3,P05231,No
P12931,O15530,Yes
P35579,Q9NWS0,Yes
P27694,P78314,No
O76003,Q8NBJ7,No
P31943,Q96IZ0,Yes
P61956,Q96B02,Yes
Q13148,Q15388,No
Q6P9B6,O75348,Yes
Q9NRC8,Q92995,No
P08243,P05109,No
Q96BY9,Q15758,No
Q9NP59,P62820,No
Q16621,Q13148,No
Q9Y4A5,P04439,Yes
O60671,P16435,No
Q13426,Q9HD15,No
O94761,P14555,No
P60880,P43307,No
P22736,P31943,No
P29762,O15527,No
Q9UHY7,P09211,No
Q13330,Q9NP72,No
Q14181,P84077,No
Q13501,Q02363,Yes
O94762,Q96Q04,No
Q8IWR0,Q9NTX7,No
P24522,Q13541,No
O60260,P33240,No
P51693,P30533,No
Q16643,O14976,Yes
Q03393,O75381,No
P04439,O95445,Yes
P09104,P11142,No
Q15262,P60903,No
O00422,Q92963,No
P04406,O43252,No
Q13574,Q96AE4,No
P02647,Q9H5I1,No
Q9Y2S7,P53041,No
O95166,O95639,No
O75525,Q9H169,No
P09466,P63000,No
P02794,Q8IYT8,No
O14717,O15527,No
O14678,P34896,No
Q15910,Q92597,Yes
P62937,Q13501,Yes
P19793,Q8N2I9,No
P04844,P15090,No
Q14318,O95166,Yes
Q15560,O15031,No
P47224,Q7LDG7,No
P30153,Q96KB5,No
O76061,Q9UII2,No
Q99081,Q9H5I1,No
O00445,P21579,Yes
Q8WV44,Q15811,No
P27694,Q13123,No
P98175,P20042,No
P12429,Q9UNN8,No
Q12772,P63279,Yes
O94762,Q96AP0,No
O00445,P35269,No
O60671,P40926,No
Q99963,P01040,No
P09104,P11309,No
Q13239,P34913,No
P49321,P32942,No
P09104,P04844,No
Q9HCU8,P62979,Yes
Q13596,O60701,Yes
P11021,P04183,No
O94762,P34896,No
P06400,Q9BVK8,Yes
P62979,P30153,Yes
Q13526,P00742,No
Q8WWQ0,P55209,No
O43252,Q07869,No
P09326,Q9P212,No
Q07866,P47756,No
O95273,O75899,No
P07814,Q9P2R6,No
P23528,O15031,No
P17174,P05231,No
P02647,P09466,No
Q92597,Q15910,Yes
P61956,P22314,No
P12004,Q9UQL6,Yes
Q13123,P22061,No
Q96JB3,P17028,No
P63208,Q9UHX1,No
P21246,P62826,No
Q00013,Q9H0E2,No
O60671,P24666,No
Q14790,O75962,No
O95989,Q8NFP7,Yes
Q7L5N1,P55212,Yes
P62136,Q14974,Yes
P47224,P62979,No
O43504,P11309,No
Q9HD67,P60903,No
Q71DI3,O60885,Yes
P17174,O14678,No
Q14194,P08670,Yes
P53602,O75689,No
P26641,Q9UMR2,No
O94761,Q86VP6,Yes
P61956,Q96AE4,No
P42773,P14314,No
O14640,P37198,No
Q14181,Q9UKM9,No
P18206,Q9H1I8,Yes
Q9NZD4,P33552,No
Q9Y4P1,Q9NX18,No
O95568,P15882,No
P07900,P04637,Yes
Q9Y237,P35914,Yes
Q9BUL5,Q96GD3,No
P04844,P51513,No
P49903,P60174,No
Q9H4M7,P62937,Yes
P30281,Q00536,Yes
Q08495,O00305,No
O00267,O96013,Yes
Q15233,P46531,No
Q12824,P00505,No
P15822,Q9H1I8,No
Q06323,Q13325,No
P06858,Q16827,No
O60493,Q13867,No
Q9BZI7,Q7LDG7,No
P16403,Q99567,No
Q12852,Q00013,No
P02787,Q8WXF1,No
Q9H8U3,Q9NP72,No
O43570,P56192,No
Q969X0,P50570,No
Q9UKY1,Q13625,No
O43504,Q15560,No
Q13239,Q9UNI6,No
Q07866,P51965,No
P30281,P02774,Yes
Q15059,O00257,Yes
P11021,Q96Q04,No
P04181,Q9UQL6,Yes
Q9NXU5,Q02363,No
O60870,Q9NW64,Yes
Q9HCU9,Q7LDG7,No
P05388,Q9NPA8,Yes
P62937,O15031,No
Q7L2H7,Q9H095,No
O60885,Q16543,Yes
O14733,O95760,No
P63208,Q9NTX7,No
Q12840,Q99496,No
P03950,O15235,No
P07602,O60260,No
P0CAP1,O94762,Yes
P68871,O95568,No
Q9H773,Q9Y2S7,No
P07602,P43307,Yes
P49321,P06746,No
Q01082,Q93077,No
Q96GM8,P39687,No
P27448,P32249,No
Q969G6,Q92598,No
Q9H8U3,Q13263,No
Q04446,Q86YL7,No
P09467,Q96AE4,No
P51114,Q9BXJ8,No
P51671,Q13541,No
P68036,O14526,No
P61769,Q96B36,No
P53041,P11142,Yes
O60884,Q06609,No
O95251,P61077,No
P19367,Q9BY11,No
Q9HA47,O60315,No
Q969W0,P62979,No
Q12840,Q9UQL6,No
P09467,P01033,No
P02008,P62820,No
Q14790,Q9UQL6,No
Q96IZ0,Q96GD4,No
P22234,Q8NFZ0,No
P21964,O14832,No
Q9NRS6,P30519,No
P62979,P68104,Yes
Q15811,P14314,Yes
Q96EH3,P23284,Yes
P98175,Q9Y295,No
P59998,P63000,Yes
O95273,P24666,No
Q15121,P07237,No
P51671,O60315,No
P61026,P17540,No
Q13158,Q13510,No
P02792,Q9UBS3,No
P23528,P16220,Yes
Q9Y4G2,O60828,No
P38936,Q16643,No
P00533,P63096,Yes
P48443,Q9H773,No
P32456,P25445,No
P62937,Q13951,No
Q13547,Q9ULC4,No
Q8IWV7,Q8NFZ0,No
Q14690,O95361,No
P55769,Q53GS9,Yes
Q9UPT6,Q9UHF0,No
Q9UKL0,Q13547,Yes
P04637,Q8N159,No
P08670,Q6IAA8,No
A4D1P6,P68402,No
O95926,Q6P2Q9,Yes
Q15645,Q6P9B6,Yes
Q9H3S7,Q86YV5,No
P60763,Q9H0H5,Yes
O60234,P30519,No
Q13107,Q15758,No
P60520,Q00597,Yes
Q15121,O43765,No
O95571,P24666,Yes
O00445,P55316,No
Q96EP1,Q9Y295,No
P07900,P49419,No
Q9Y5U2,P50402,No
Q8N6T3,Q9UK61,No
P59998,Q03013,No
P07900,P53779,No
P09960,O60315,No
Q9Y2S7,Q15560,No
Q99250,Q15388,No
P60174,Q99700,No
P09651,P04183,No
Q8WV44,Q12988,No
P60520,Q15907,No
O14907,P46531,No
Q8NE71,Q9Y2M5,No
Q96GD3,O60260,No
O76071,Q9NYQ6,No
P49736,Q8NCC3,No
P49736,O95994,No
P02792,P23528,No
P02008,P52209,No
Q14318,P31689,Yes
Q7L5D6,Q16539,No
Q8NFP9,O15381,No
Q15434,Q2NL82,Yes
P14618,P19838,Yes
Q99081,P35637,No
P21964,Q7LDG7,No
O15381,Q9H4M7,Yes
P50542,P56945,No
Q6PI98,Q9Y265,Yes
Q969G6,P55854,No
Q9UPY8,P08670,No
P62995,P63146,No
Q13239,P55774,No
Q9NXU5,O60260,No
Q92597,Q9UK32,No
Q8NI35,O14832,Yes
P21579,O00305,No
Q7L2H7,Q16643,No
P62937,Q9UNZ2,No
Q8TEY7,O60701,No
Q8NFP7,Q9NX58,No
Q13107,P31943,No
O00499,Q8NCC3,No
P26641,Q13526,No
P00966,P11142,Yes
Q8N8Q3,Q9NX09,No
Q9H4M7,Q7L014,Yes
Q16881,P49771,No
P20042,Q9H4M7,Yes
Q16658,P50402,Yes
O94761,P22234,Yes
P42773,O95376,No
Q9UIF7,P62979,No
P0CG48,P26373,Yes
P50542,O14737,No
P10451,O00329,Yes
Q13332,P61077,No
Q8IX03,Q71DI3,Yes
P02766,P62308,No
O43252,P62861,No
P56470,P46531,No
P02647,P48443,No
P55209,O15381,No
P01111,P51159,Yes
Q8N6T3,P68402,No
Q01101,P00918,No
Q9H9F9,Q6ZRS2,Yes
P61289,Q9NPA8,No
P21549,P49675,No
O43809,O95639,Yes
P18669,P00918,No
P13497,Q96P48,No
Q9NYY3,Q06830,No
P08631,P04637,Yes
Q9UPT6,P07858,No
O60885,P62979,Yes
P62937,P02794,No
Q13459,Q9NTX7,No
Q9BXR0,O60828,No
O75674,O75899,No
P35219,P02768,Yes
P32456,O43765,No
O60260,P04844,No
O95166,Q8N2Y8,No
O00499,P35637,No
Q99616,Q15907,No
O43504,Q9NPA8,No
Q13426,Q12824,No
P05387,Q15843,Yes
Q13432,Q99567,No
Q6P2Q9,O60885,Yes
Q9UKY1,Q9UK32,No
Q12852,Q86YV5,No
Q8IX03,Q96RR1,No
Q96P48,Q9UMR2,No
Q96E40,O43809,No
P49736,Q96HL8,No
Q9Y4P1,P63167,No
Q13523,P07858,No
P05231,Q16539,Yes
Q96GD3,Q08379,No
Q969G6,P17936,No
Q15645,Q96HL8,No
P41250,O43927,No
Q9Y5U2,Q9NPJ4,No
P51784,P07900,Yes
O95704,P19367,No
O60260,Q9UH03,No
P08559,P04899,No
P08670,O43765,No
P42773,P12931,No
P59665,Q13625,No
P06858,Q00013,No
P04637,P16435,No
P14635,O00257,Yes
P30153,O75534,No
Q15046,O00560,Yes
Q15843,P62861,Yes
P29074,O00757,No
O60260,Q13501,Yes
Q13459,P0DP23,Yes
Q13885,Q15907,No
Q9NVJ2,Q96BY9,No
P08631,O95760,No
P57060,P22061,No
P55789,Q9UQB8,No
Q12824,O43390,No
Q9NZD4,P00742,No
Q92997,P60763,Yes
P04637,Q9NRC8,Yes
P07814,Q9NX09,No
Q9NTG7,P51784,No
P41250,P11166,No
P43034,Q13227,No
O15169,O15496,No
O76071,P50570,No
P22670,Q8N159,No
P49419,Q8WWI1,No
Q8NE71,Q9NX09,No
O60671,O60502,No
O14733,Q9HC16,No
Q9NPI1,Q71U36,Yes
O75569,Q9BPX5,No
Q08345,Q15645,No
Q16539,P68400,Yes
Q8WV44,P61077,No
P31943,P62873,Yes
Q13227,P05231,No
Q9Y4P8,P07737,No
P10451,Q13263,No
Q14240,Q9BVJ7,No
P24394,Q08379,Yes
O43570,P15090,No
Q01082,Q00013,Yes
O75936,Q9H169,No
Q9Y295,P20042,Yes
P02794,Q93077,No
P14866,O95376,No
Q96BY9,Q9H5I1,No
O43570,Q9ULC4,No
O94761,P26641,Yes
Q13309,Q8N6T7,Yes
O15169,P55789,No
P60709,Q16643,Yes
Q99962,P50591,No
Q7L5N1,P22736,No
Q6PI98,Q96L34,No
Q86VP1,Q15910,No
P09104,P14091,No
P18206,Q15046,No
P13686,Q9P2J2,No
P52788,P55774,No
O14976,P04899,No
Q92540,Q9NZL4,No
O75874,P04181,Yes
Q16827,Q9NPA8,No
P27694,Q8NEM0,Yes
Q14240,Q9NVJ2,No
Q9Y6K8,O00560,No
O95251,Q13510,No
Q96S52,P04632,Yes
Q08495,Q8WWI1,No
P22234,Q99496,No
Q9NWY4,P00918,No
Q96IZ0,Q9H4M7,No
Q86YP4,Q8N8Q3,No
Q9Y237,Q8NFZ0,No
P05413,P35637,No
Q08345,Q13885,No
P40306,Q7L014,Yes
P11169,Q9NQC3,No
P27448,Q9NPI1,No
O43924,P30533,No
P26641,Q9H1J1,No
O14678,P05026,Yes
Q16539,P68104,Yes
P43034,P11274,No
Q8TBC3,Q14807,No
P57060,Q8TBC4,No
P39748,P56192,Yes
P26641,P21127,No
Q8NE71,Q96FE5,No
P49458,P62979,Yes
P11142,O14775,No
Q86VK4,Q9UK32,No
P52788,Q8NFZ0,No
O43504,O75319,No
Q06830,O60885,Yes
P08670,P00918,No
P12956,Q9UII2,No
P17858,Q14318,Yes
Q9BQ04,Q08116,No
P08758,P13727,No
Q53GS9,O60885,Yes
P21579,O14717,No
P09104,Q99417,Yes
P06576,Q96L34,No
P55209,O95994,No
Q9H0H5,Q9P287,No
P61956,Q06609,No
P31689,Q15758,No
P23381,Q53H47,No
Q92540,Q06609,No
Q9BZI7,P55212,No
Q15181,Q9Y5U2,No
Q06323,O95994,Yes
P39687,Q13113,No
O00257,P05305,No
Q14181,P01023,No
O43504,Q96KB5,No
P06576,Q9UII2,No
Q9NX46,P29350,No
P38936,Q9Y2V2,No
P02766,P04179,No
Q93077,P83916,Yes
Q96B36,P46100,No
P42773,O00151,No
P06858,P06746,No
P08559,Q8IYT8,No
Q13501,P17540,No
O60885,O00762,Yes
P37198,Q14974,Yes
P09936,Q9UH03,No
P31689,Q9NWZ3,No
P59998,O60543,No
P23528,P47756,No
P32456,P08758,No
Q92597,Q9ULU8,No
P49419,P16284,No
Q13227,O95425,No
Q13239,P17028,No
Q9HCK4,Q9UQB8,No
P49736,P02008,No
Q96P48,Q96HL8,No
P12004,P07237,Yes
P61221,P16403,Yes
Q99653,Q13459,Yes
Q9Y4P8,Q15811,No
P53621,Q8NCD3,No
P04637,Q9Y343,No
P30153,P32942,No
P09651,P49736,No
Q00536,P60903,Yes
Q06323,O00499,No
P31689,P62826,No
P50402,P12956,Yes
Q13200,Q15011,Yes
Q13227,P08243,No
P29692,O76071,No
Q6PI98,P30086,No
Q08345,Q9UII2,No
P60880,O43292,No
P02787,Q9BPU6,No
P18206,Q14203,Yes
Q9H773,P51965,No
P04049,P27986,Yes
P00533,Q15560,No
P14618,P49771,Yes
O15169,P05154,No
Q13158,P46531,No
P37268,Q9Y2J2,No
Q14181,P27694,Yes
P06858,Q9ULU8,No
Q9UM54,P43307,No
P62937,P55774,No
P42356,Q13469,No
Q2NL82,P0DPB6,Yes
Q9UHX1,Q9UNN5,No
Q8NI35,P26885,No
O00499,P24593,No
P03950,Q03405,No
P24394,O00305,No
Q13123,Q13636,No
Q9NZD4,Q6IBS0,No
O76061,Q06323,No
Q05516,Q96AE4,No
Q04446,P04183,No
Q96GD3,Q12809,No
P08758,P05090,No
Q15181,P05026,No
P98175,Q06830,No
O94761,P63208,No
Q9Y6K8,Q53H47,No
P27986,P68400,Yes
P31689,Q13541,No
P46379,P21695,No
O00291,O75381,No
O75251,Q8IYT8,No
P00390,P11021,Yes
Q9UQ80,Q9UNE7,Yes
Q9UHX1,O76071,No
P40925,Q13867,No
Q01082,P14555,No
Q9BQ04,P26885,No
Q01082,P25189,No
O00329,P00742,No
P02008,P22736,No
Q9UKM9,P68400,No
P02766,Q09472,No
A4D1P6,P35579,No
Q9Y4P8,P05413,No
Q9UQL6,P26373,Yes
Q9H8U3,Q9HCU9,No
P04439,Q9H668,Yes
P10451,P50336,No
Q9H1J1,O43390,No
Q13158,P17480,No
P62979,Q6P2Q9,Yes
Q9UNN8,Q06830,No
Q9NQW7,P29762,No
P51114,O75525,No
Q9P287,Q13813,No
P09960,O14907,No
Q08495,O14717,No
P06576,Q9H492,Yes
P08758,Q96BY9,No
Q9UNN5,P17028,No
P60709,Q15910,Yes
Q14194,P01033,No
P38936,Q969G6,No
O75828,Q96Q04,No
P63279,P09429,Yes
Q03013,O96007,No
P68104,Q96EP1,No
O95273,P12931,No
Q9P2J2,O00757,No
P08670,Q9H492,No
P55789,P29350,No
P04844,P84077,No
Q8IX03,Q93091,No
O00257,Q8N5F7,No
P16220,Q9UNE7,No
P53350,Q9NYZ3,Yes
P02008,P78417,No
Q9Y296,Q96EP1,No
Q9Y6K8,Q9BVJ7,No
Q99962,Q8NBJ7,No
P19367,P14618,Yes
P11309,Q13309,Yes
P49736,Q09013,No
P02787,P47929,No
Q9H1J1,Q96HS1,No
P02008,O00267,No
Q13426,O95445,No
Q96GD4,Q8TDM6,Yes
P24394,Q9H5I1,No
P61769,Q15436,Yes
P05091,Q8IWR0,No
Q13330,Q92575,No
P16403,Q8TF65,No
Q04724,Q13148,No
O75534,Q92540,Yes
O60671,P55209,No
Q9Y4W6,P34896,No
P11021,P05154,No
P14174,Q15758,No
P42773,P16435,No
Q08945,Q9UQB8,No
Q13547,O95361,No
P06858,Q96B02,No
O95630,P16284,No
P52788,P78560,No
Q13325,Q8TEY7,Yes
P63167,Q08116,No
P30153,P04844,Yes
P18669,Q5SZQ8,No
Q15262,P62979,No
P05090,P02768,No
Q9NTK5,Q8N2Y8,No
Q92674,Q13257,Yes
Q9Y233,P09429,No
Q14181,Q9NQC3,No
Q96GM8,P26358,No
Q86XP3,Q15005,No
Q16827,P37198,No
P46379,P16220,No
P55209,Q9H4M7,Yes
P30281,P68402,No
P39748,Q9ULC4,No
P68036,P01040,No
P62979,Q13330,Yes
P61970,Q13625,Yes
P24534,Q13636,No
P14314,O43252,No
Q9Y237,Q9NPH0,No
O60260,Q15910,No
P18858,P78314,No
Q13885,Q71U36,Yes
P20338,P63104,Yes
Q05516,Q9NZM3,No
P49321,Q06323,No
Q9H773,O00267,No
Q8WY91,P30519,No
Q9UM54,O14976,Yes
O60884,Q9BVJ7,No
P27694,Q09472,Yes
P84090,Q9NYQ6,No
Q9NXU5,P11169,No
Q15047,O96013,No
P07602,Q9UKK9,No
Q9C0C9,Q96RL1,Yes
Q96KS0,P17858,No
P53602,Q9NYY3,No
Q9NRS6,Q9BY11,No
O00220,P07900,Yes
P68032,O43809,No
P39748,P11274,No
P04844,Q15758,No
P60174,Q9NTX7,No
P60709,Q9UM54,Yes
P68871,O14777,No
Q9NTK5,O00560,No
P53602,Q96HL8,No
O60493,Q99685,No
P27694,Q9Y3A3,No
Q03468,Q6P1J9,Yes
P49419,P78417,Yes
P07602,O60333,No
O75828,Q9NY59,No
P47756,P63000,Yes
Q8N6T7,O60671,Yes
Q12988,P12931,Yes
Q9NYZ3,Q9UPY8,Yes
P01111,Q00013,Yes
Q9BYC9,Q9P287,No
P28066,Q06265,Yes
A4D1P6,Q9NTM9,No
O14732,P24593,No
Q99873,P01040,No
O43312,P25445,No
Q13426,O00499,Yes
O00422,P55769,Yes
Q9Y4W6,P30519,No
P27694,P02794,No
P22736,O15211,No
Q15436,P63146,Yes
P41567,Q9NQC3,No
P14902,Q9GZN7,No
Q96EP1,Q8IYT8,No
Q93077,Q6P1J9,Yes
P19256,Q8IWR0,No
P52788,Q4VC44,No
P02794,O75534,No
Q9BZI7,Q13951,No
P29074,Q14061,No
Q8IYT8,P53350,Yes
O95704,P05305,No
Q92993,Q96HS1,No
Q9Y4A5,Q92993,Yes
P02008,P51159,No
Q15910,P42773,Yes
P04179,P06396,No
O94953,P56192,No
Q7L5D6,Q9NZL4,No
P61956,Q8N5F7,No
P38936,P40306,No
Q9H4M7,P47985,Yes
O94762,P13727,No
Q13227,P07858,No
Q9Y296,Q9UPT6,No
Q96RL1,P54725,Yes
Q07666,Q9H3H3,No
Q6P1J9,O95696,No
P47224,P08133,No
P68871,Q9Y6I3,No
Q00403,Q13263,Yes
P23381,P29074,No
P22234,P35579,No
Q08345,Q9H095,No
P63167,Q15121,No
P24534,Q8IVM0,No
P35637,Q96GM8,Yes
Q96PU5,P61088,Yes
Q00610,Q9H840,No
Q7Z3C6,Q16760,No
O95639,P48643,No
Q13325,Q9Y295,No
P60880,Q9H5I1,No
P23284,P14555,No
Q07869,P09211,No
P23284,Q9UK61,No
Q8NFP9,Q9Y343,No
O00422,P15882,No
P50542,P80098,No
Q13325,Q9BPX5,No
Q07869,Q9Y2M5,No
P47224,P17540,No
Q7L2H7,P35637,Yes
Q9P298,Q9UH03,No
P38936,P24941,Yes
Q8IX03,P20338,No
O95445,P04183,No
P55769,O94953,Yes
Q13426,Q96AP0,No
P02794,Q9NY59,No
P62873,P05387,Yes
Q86YP4,P35579,No
O00762,P12931,No
O60260,Q9NP72,No
P18669,P16435,No
Q9H0B6,Q8N2Y8,Yes
Q15560,O60828,No
Q9BXR0,O60885,No
P56470,P11021,No
P07602,Q16621,No
P07900,P02766,Yes
O76061,O00499,No
P34896,P01215,No
P31943,Q71DI3,Yes
O94762,Q9NX09,No
Q7L2H7,P54274,No
Q9UPT6,P01270,No
O14717,Q9NTX7,No
P05154,P01040,Yes
P13497,Q8TF65,No
Q9NWY4,P00491,No
P46087,P16403,Yes
P55209,P23921,No
Q8NE71,O60885,Yes
Q8NI35,P16152,No
P27986,P62070,Yes
P53602,P05231,No
Q96CS7,P00742,No
Q99081,P52209,No
Q9NWV4,Q8TBC4,No
P27707,Q9GZN7,No
Q03393,Q8WV44,No
P03950,P09211,No
Q8IWR0,P62826,No
Q13885,Q9H4M7,Yes
P49736,Q8NEM0,Yes
P24534,Q9GZQ8,Yes
P42858,Q8NFZ0,No
Q8N6T3,Q9HCU9,No
P19793,P53041,No
Q13574,P55209,Yes
O95994,P20700,Yes
P42773,Q9ULU8,No
O95273,Q9NPJ4,No
O60234,Q9Y3A3,No
Q13263,O60885,Yes
Q9HCK4,P50570,No
O95425,O60333,Yes
P13497,P05026,No
Q13523,P78560,No
Q9NTM9,Q8IYT8,No
Q96L34,P30153,Yes
P09104,P14314,No
Q14204,P62979,Yes
Q9Y4P1,P06730,Yes
Q9H3S7,Q96HL8,No
O75569,Q99567,No
Q13501,P35269,No
P63167,O14526,No
Q9NTG7,P17858,No
P35269,O60885,Yes
O95273,Q9UQ90,No
P02647,Q8WXF1,No
Q6IAA8,Q53FA7,No
Q9Y2W2,P50616,No
Q9HC35,P04183,No
P02792,P30086,No
Q7L5D6,P21741,No
O95251,P50616,No
P51784,Q12906,Yes
O15169,Q96KB5,No
Q08495,Q9H0E2,No
Q13526,P41220,No
P98175,P58340,No
Q9H0H5,O43639,No
P05090,Q96HL8,No
Q9NVJ2,Q9H0B6,Yes
P68871,Q13011,No
P61769,P16284,No
Q13332,P16403,No
O95639,P02774,No
Q9Y237,P25445,No
Q9NRC8,P49448,No
O15169,P05026,No
Q00013,P13727,No
Q9UM54,P14091,No
Q00610,Q09472,Yes
P60033,Q9NWV4,No
P42356,P11166,No
P24534,O75674,No
Q96RL1,O15527,No
Q96EP1,Q15005,No
Q96RL1,Q9NS87,No
Q9P298,P17480,No
Q99963,Q09013,No
P46100,O00267,Yes
Q96JB3,P30519,No
P59998,P56945,No
Q9ULU8,P17028,No
Q13123,Q96GM8,Yes
Q9NVX7,Q9H1I8,No
P16403,Q9Y2J2,No
Q9NRC8,O14777,No
O96013,P60763,Yes
O76061,O75398,No
P60880,P63146,No
Q9UPY8,P07305,No
P08559,P30519,Yes
Q8WWI1,P24941,Yes
Q9P287,P48643,No
Q96IZ0,P17028,No
P22736,Q9P2R6,No
P60174,Q9Y2M5,No
Q9NRS6,P50591,No
P53350,Q96GD3,No
Q99584,P24666,No
P06865,Q9H4M7,No
O14717,Q15005,No
Q96B86,P78417,No
O14737,P40227,Yes
P62995,P15882,No
Q8WYH8,P01909,No
Q9H4M7,P83916,Yes
Q92993,O94761,Yes
P63000,Q99567,No
Q9GZT6,P31943,No
Q96P48,Q8N159,No
P60520,P40926,Yes
P04632,P35579,No
P51114,Q9Y2U9,No
P49321,P55854,No
P48643,P68400,Yes
Q13263,P06493,Yes
P08631,P50336,No
Q99963,P49675,No
P53602,Q9NS87,No
Q9UHY7,Q99719,No
P09467,O95372,No
Q92692,O00757,No
P61006,O15031,No
Q9UKM9,O95989,No
P09467,O14907,No
Q01082,Q96HL8,No
P14902,P39748,No
P07437,Q15233,Yes
P60709,Q12929,Yes
P55789,Q9NY59,No
Q13330,Q149N8,Yes
P27448,Q9Y343,No
P26358,Q93077,Yes
Q00610,P51114,No
P14174,Q96L34,No
Q93091,Q8NBJ7,No
O95163,Q06830,Yes
Q04724,Q15907,No
P01023,Q9BX70,No
P21549,Q86YV5,No
P51693,Q6P1J9,No
Q9GZT6,Q9Y4P8,No
P14866,O95571,No
O15197,P63104,No
Q06323,Q15843,Yes
O95445,P20827,No
P61769,P62820,No
O75525,Q9NX09,No
P08243,Q14061,No
Q9H1J1,P35609,No
Q13547,Q03468,Yes
Q9Y6I3,Q96CS7,Yes
Q8IX03,Q8TBC4,No
Q15645,P31943,No
P30086,O75689,No
P09466,P05091,No
P43250,P78417,No
O95273,O43390,No
Q16621,P01040,No
Q13823,Q9Y295,Yes
Q9NWY4,O95760,No
O75828,Q9NX18,No
Q9Y2W2,O95760,No
O14717,O94762,No
Q9GZQ8,Q9Y483,No
P49419,P62861,No
Q04724,P12931,No
O00422,O14717,No
Q14690,O14717,No
